# Data file contents: Daily precipitation amounts for Kumpula, Helsinki
# for June 1 - August 31, 2024
# Data source: Finnish Meteorological Institute - downloaded from open data portal https://en.ilmatieteenlaitos.fi/download-observations
# Data processing: Extracted precipitation from raw data file, converted to
# comma-separated format - Created YEARMODA column
#
# Processed by Kamyar Hasanzadeh 26.09.2025

DATE,PRCP
20240601,0.7
20240602,0.1
20240603,0.0
20240604,-1.0
20240605,-1.0
20240606,-1.0
20240607,-1.0
20240608,0.9
20240609,18.5
20240610,3.0
20240611,0.3
20240612,0.0
20240613,0.0
20240614,-1.0
20240615,-1.0
20240616,-1.0
20240617,1.0
20240618,-1.0
20240619,-1.0
20240620,-1.0
20240621,-1.0
20240622,-1.0
20240623,-1.0
20240624,1.4
20240625,-1.0
20240626,-1.0
20240627,0.0
20240628,0.1
20240629,-1.0
20240630,-1.0
20240701,0.0
20240702,-1.0
20240703,5.3
20240704,0.2
20240705,11.7
20240706,5.8
20240707,1.8
20240708,0.0
20240709,-1.0
20240710,0.0
20240711,5.9
20240712,-1.0
20240713,-1.0
20240714,9.1
20240715,0.7
20240716,-1.0
20240717,1.7
20240718,2.3
20240719,4.4
20240720,2.2
20240721,3.9
20240722,0.0
20240723,-1.0
20240724,0.0
20240725,0.0
20240726,-1.0
20240727,-1.0
20240728,-1.0
20240729,0.0
20240730,0.0
20240731,0.9
20240801,0.7
20240802,0.3
20240803,5.0
20240804,4.3
20240805,7.8
20240806,11.3
20240807,0.0
20240808,0.0
20240809,4.4
20240810,5.2
20240811,0.7
20240812,5.3
20240813,0.0
20240814,-1.0
20240815,0.0
20240816,-1.0
20240817,-1.0
20240818,0.0
20240819,0.0
20240820,0.0
20240821,1.1
20240822,-1.0
20240823,4.4
20240824,-1.0
20240825,-1.0
20240826,-1.0
20240827,-1.0
20240828,1.0
20240829,-1.0
20240830,12.2
20240831,6.3
